level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
76	76	1	120	15858	22102	1.0	20x	raw	a647	0	538.057	355.064	52.779	0.29600000000000004	1.622	7.983	-1.0	0	6.524478714235059	0.29600000000000004
77	77	1	147	7146	12892	1.0	20x	raw	a647	93	588.184	373.011	48.761	0.295	2.009	4.537	1.372	0	5.878178754740139	0.295
78	78	1	119	5734	8814	1.0	20x	raw	a647	83	496.087	327.83	51.23	0.294	2.233	14.504	1.273	0	12.229494231993597	0.294
79	79	1	63	6998	12637	1.0	20x	raw	a647	0	273.976	640.096	49.909	0.292	3.072	7.77	-1.0	0	3.70982778816182	0.292
80	80	1	153	5264	9672	1.0	20x	raw	a647	0	609.134	451.077	48.944	0.29100000000000004	2.209	9.048	-1.0	0	6.1813954864276095	0.29100000000000004
81	81	1	153	5264	9672	1.0	20x	raw	a647	0	610.198	449.98	48.914	0.29100000000000004	1.992	6.7879999999999985	-1.0	0	3.59720802816674	0.29100000000000004
82	82	1	21	4421	8778	1.0	20x	raw	a647	0	115.861	89.956	55.824	0.29	2.332	7.065	-1.0	0	4.95054015426786	0.29
83	83	1	111	5754	12212	1.0	20x	raw	a647	124	422.078	585.192	51.898	0.289	2.222	6.27	1.266	0	3.5987938848585097	0.289
84	84	1	120	15858	22102	1.0	20x	raw	a647	83	526.068	370.947	51.018	0.289	1.857	13.18	1.285	0	13.1575763234855	0.289
85	85	1	111	5754	12212	1.0	20x	raw	a647	124	422.129	584.003	53.135	0.289	2.427	6.893	1.307	0	3.58428880173842	0.289
86	86	1	116	6376	11709	1.0	20x	raw	a647	0	430.133	220.058	55.962	0.289	1.761	14.622	-1.0	0	10.7813052836368	0.289
87	87	1	124	5941	9644	1.0	20x	raw	a647	0	556.1519999999998	363.952	52.918	0.28800000000000003	2.491	8.087	-1.0	0	3.69264992280642	0.28800000000000003
90	90	1	89	10436	20499	1.0	20x	raw	a647	0	362.89	184.034	50.713	0.28800000000000003	1.558	7.675	-1.0	0	7.75020557558236	0.28800000000000003
89	89	1	34	12042	22664	1.0	20x	raw	a647	0	99.097	367.066	50.837	0.28800000000000003	1.554	5.774	-1.0	0	5.09566140666713	0.28800000000000003
92	92	1	119	5734	8814	1.0	20x	raw	a647	83	497.983	343.86800000000005	53.12600000000001	0.287	2.266	4.394	1.357	0	4.7380872482044	0.287
93	93	1	89	10436	20499	1.0	20x	raw	a647	60	367.954	205.067	54.073	0.28600000000000003	2.051	6.707000000000002	1.293	0	5.8962303203794	0.28600000000000003
