sid,nid,size,dilated_size
3,51,4952,10123
3,52,3708,6324
3,53,1932,4937
3,54,3088,8189
3,55,5112,11935
3,56,10143,18796
3,57,2332,4914
3,58,7931,17572
3,59,4725,10963
3,60,2184,5298
3,61,3258,7551
3,62,969,1627
3,63,5936,10101
3,64,8286,13522
3,65,2165,5062
3,66,2558,4115
3,67,3884,5039
3,68,2767,5133
3,69,4691,7970
3,70,3213,5533
3,71,4719,9534
3,72,4748,9783
3,73,5863,9174
3,74,2736,5175
3,75,2289,4850
3,76,6154,11132
3,77,4338,8702
3,78,8298,19553
3,79,5205,11981
3,80,2839,4450
3,81,3537,6936
3,82,3087,7376
3,83,3870,7230
3,84,5878,10061
3,85,4210,7977
3,86,6262,9224
3,87,4407,8909
3,88,2120,4637
3,89,8190,18723
3,90,2931,5421
3,91,6588,12361
3,92,4158,7383
3,93,4410,8323
3,94,1455,2924
3,95,3416,6581
3,96,3180,5456
3,97,772,1276
3,98,3315,8236
3,99,7047,14137
3,100,3283,6327
3,101,2829,4991
3,102,2952,7143
3,103,6870,11626
3,104,4986,10230
3,105,6204,10881
3,106,4509,11035
3,107,3108,7115
3,108,5949,12542
3,109,3762,7806
3,110,5356,11966
3,111,1943,4503
3,112,3060,7930
3,113,3989,7438
3,114,4140,10216
3,115,8280,15154
3,116,6633,15619
3,117,8779,18222
4,1,5001,11112
4,2,2856,6319
4,3,9009,17061
4,4,6510,12005
4,5,2973,6706
4,6,4086,8014
4,7,986,1681
4,8,4426,7745
4,9,2259,5567
4,10,689,1574
4,11,3561,5677
4,12,5352,9461
4,13,2772,7757
4,14,2866,5258
4,15,2121,4409
4,16,2298,5385
4,17,2454,5350
4,18,2775,5022
4,19,1863,4981
4,20,1917,5716
4,21,5725,10515
4,22,6490,10783
4,23,3977,8305
4,24,5711,10666
4,25,3798,8786
4,26,7752,14921
4,27,9370,18151
4,28,7629,17050
4,29,8757,19448
4,30,5856,12743
4,31,5193,11089
4,32,4923,10230
4,33,6075,12524
4,34,6444,14311
4,35,5799,12713
4,36,2063,5099
4,37,3501,9409
4,38,2482,3680
4,39,4617,10746
4,40,3618,9563
4,41,2198,4436
4,42,3643,6477
4,43,6255,12878
4,44,4248,9009
4,45,5994,12668
4,46,5855,11541
4,47,6381,13666
4,48,2402,4946
4,49,6823,10573
4,50,4231,8234
4,51,4443,8986
4,52,5131,8730
4,53,1561,3759
4,54,5079,6286
4,55,3087,6992
4,56,1935,3324
4,57,3638,6595
4,58,4188,6804
4,59,2181,5135
4,60,4683,11120
4,61,3690,7852
4,62,6282,14741
4,63,6501,11787
4,64,3160,6016
4,65,6057,12161
4,66,5722,9918
4,67,5330,10586
4,68,11355,22309
4,69,2719,5226
4,70,3466,7218
4,71,3003,6968
4,72,7560,14453
4,73,6399,14120
4,74,3176,6023
4,75,3789,9634
4,76,1673,3902
4,77,2340,3168
4,78,5731,11101
4,79,2257,3513
4,80,6553,12467
4,81,3605,6274
4,82,6057,14155
4,83,2811,6037
4,84,4395,7513
4,85,6570,13717
4,86,3198,6350
4,87,3315,6181
4,88,6219,15536
4,89,7074,14137
4,90,4371,8687
4,91,1646,2606
4,92,5044,8939
4,93,5090,10913
4,94,6876,14404
4,95,7543,15806
4,96,5544,11604
4,97,3358,6247
4,98,2268,6388
4,99,2634,5583
4,100,2628,6796
4,101,2664,4266
4,102,4313,7439
4,103,2493,6091
4,104,3663,6921
4,105,4542,9306
4,106,3432,7248
4,107,2644,5091
4,108,3864,8628
4,109,10116,21686
4,110,3072,6955
4,111,6249,13230
4,112,7812,18318
4,113,1503,3450
4,114,2277,5095
4,115,16473,35168
4,116,3483,8599
4,117,2556,6059
4,118,3384,7429
4,119,2475,4866
4,120,2493,4566
4,121,2394,5413
4,122,5049,9963
5,1,2646,5399
5,2,6714,12523
5,3,5724,11047
5,4,4419,9847
5,5,4104,9883
5,6,2861,6543
5,7,2223,3505
5,8,1349,3059
5,9,453,585
5,10,2952,5164
5,11,2041,4247
5,12,10063,13693
5,13,4431,9869
5,14,4383,9292
5,15,3528,9078
5,16,4005,9068
5,17,4797,9700
5,18,7146,15505
5,19,7099,12044
5,20,1386,2996
5,21,5823,13721
5,22,5517,12164
5,23,4010,8396
5,24,2152,2750
5,25,3897,8063
5,26,15236,25626
5,27,1917,4958
5,28,4806,9422
5,29,5580,10208
5,30,10251,19384
5,31,9279,18363
5,32,2151,6229
5,33,5571,10708
5,34,2670,3830
5,35,2775,5624
5,36,6186,12553
5,37,4734,10540
5,38,3511,8184
5,39,6687,11593
5,40,2556,4675
5,41,2370,3671
5,42,7428,13797
5,43,1311,2088
5,44,3277,7617
5,45,2827,5479
5,46,6078,12162
5,47,6731,12811
5,48,3980,8363
5,49,4706,9341
5,50,7548,15221
5,51,1561,2786
5,52,1262,2859
5,53,6774,11775
5,54,5895,15214
5,55,5274,13138
5,56,3567,7779
5,57,6651,12956
5,58,2775,5841
5,59,4644,10599
5,60,3354,7132
5,61,14580,28500
5,62,5304,11033
5,63,2682,7003
5,64,6516,13065
5,65,4086,9594
5,66,5343,12087
5,67,2622,6029
5,68,2022,4539
5,69,9780,17088
5,70,6135,13394
5,71,5492,9593
5,72,3769,8445
